Longitud de onda, Intensidad de la luz
407.81, -1.767850279972303
407.921, -1.767850279972303
408.032, -1.767850279972303
408.143, -1.747756101651547
408.254, -1.7758403909608125
408.365, -1.3463917978593973
408.476, -0.7507054222341834
408.587, -1.4946287352963787
408.699, -1.4679367640428909
408.81, -1.4557009020550817
408.921, -1.554522679905287
409.032, -1.5275620249050814
409.143, -1.3171910108042897
409.254, -1.3529422952323826
409.365, -1.2145440682760706
409.476, -1.4884368389913112
409.587, -1.399367412660855
409.698, -1.2708497494245554
409.809, -1.2018057467832384
409.92, -1.4819824814147822
410.031, -1.5035356023017343
410.142, -1.2794557311318087
410.253, -1.3633253092776725
410.364, -1.3406152600802137
410.475, -1.4515445384186998
410.585, -0.9266413778706571
410.696, -0.8602868375636168
410.807, -0.9258504210952455
410.918, -0.9013401047209992
411.029, -0.7598145481899917
411.14, -0.8448841882212103
411.251, -0.9283777814551476
411.362, -0.7277867175373238
411.472, -0.7792915923337573
411.583, -0.8119867305598986
411.694, -0.7024109289274357
411.805, -0.8949739371718469
411.916, -0.8923302704455476
412.026, -0.6770894839547363
412.137, -0.8187115194643078
412.248, -0.8395511601748388
412.359, -0.881233558901887
412.47, -0.9441724994988249
412.58, -0.9663979020090342
412.691, -0.7883230948382324
412.802, -0.8543956349729861
412.912, -0.8916177096231306
413.023, -0.8762166350065995
413.134, -0.8653106770724841
413.245, -0.6482675222421529
413.355, -0.888484652989087
413.466, -0.9147382517960512
413.577, -0.8649071573880527
413.687, -0.6729794361574469
413.798, -0.9891856319255644
413.909, -0.7081817177505774
414.019, -0.862706257768137
414.13, -0.8295169647191852
414.24, -0.9368918059494717
414.351, -0.7617805983113206
414.462, -0.4471040201280328
414.572, -0.6999255612449102
414.683, -0.7237238388804349
414.793, -0.8943112891248053
414.904, -0.03299773995736267
415.014, -0.797704979001031
415.125, -0.9470223232593903
415.235, -0.7749792196347406
415.346, -0.5378391867558098
415.456, -0.5373073326453154
415.567, -0.8144273642659855
415.677, -0.7610154040194625
415.788, -0.7048486542281672
415.898, -0.896246948150064
416.009, -0.8733534665740468
416.119, -0.7614872823097955
416.23, -0.8832322903896895
416.34, -0.9397697025435134
416.45, -0.7830777515831763
416.561, 1.008936447422651
416.671, -0.5042140010721476
416.782, -0.9841081152460269
416.892, -0.9316575141918425
417.002, -0.7612351291696877
417.113, -0.6825218761577804
417.223, -0.8040899870309198
417.333, -0.8981338499291112
417.444, -0.852232150976174
417.554, -0.7308508185241578
417.664, -0.7158199827245183
417.775, -0.9613211107406588
417.885, -0.810327266774918
417.995, -0.8005764035928661
418.106, -0.49180923790001313
418.216, -0.698318094382209
418.326, -0.7267783389869948
418.436, -0.8139517823790612
418.547, -0.8018922240385318
418.657, -0.8874541241583963
418.767, -0.5943791037585178
418.877, -0.7610739468156178
418.987, -0.8058534258626119
419.098, -0.7916877403165473
419.208, -0.7797447867016326
419.318, -0.5688834393280108
419.428, -0.6725468095144167
419.538, -0.8169234245396504
419.648, -0.6805814173140039
419.759, -0.6517085525407986
419.869, -0.6102475033084066
419.979, -0.7636049718690647
420.089, -0.731093969419725
420.199, -0.8089357986923817
420.309, -0.6767632474920607
420.419, -0.62451097723814
420.529, -0.7648832948721015
420.639, 0.44334253567565407
420.749, -0.518547432269759
420.859, -0.5811296871920419
420.969, -0.6820402853311297
421.079, -0.11412991451453855
421.189, -0.5028931783969329
421.299, -0.5955067899697585
421.409, -0.7911508549381175
421.519, -0.5002642806129763
421.629, -0.5036929340804115
421.739, -0.7118200029004202
421.849, -0.8191453091803038
421.959, -0.8608054280718289
422.069, -0.6162786038839926
422.179, -0.7445329177792281
422.289, -0.7996288691963654
422.399, -0.7054723302253226
422.509, -0.462879571947784
422.619, 6.5485540308804255
422.729, 0.08615062318251153
422.838, -0.7795708928013091
422.948, -0.6184304082198124
423.058, -0.7505594269934185
423.168, -0.6714878474105853
423.278, -0.6679641672458627
423.388, -0.611029600870483
423.498, -0.5202520084288733
423.607, -0.5702632364964847
423.717, 0.043407943268604005
423.827, 0.06251373282594526
423.937, -0.5290245097732508
424.046, -0.40819901799986036
424.156, -0.4078345136253363
424.266, -0.5951149741983474
424.376, -0.09311421841609643
424.485, -0.20729163902011613
424.595, -0.5663147653091685
424.705, -0.654057183679819
424.815, -0.5821893558894592
424.924, 0.423745781502587
425.034, -0.3531256313946661
425.144, -0.725720171781378
425.253, -0.5353101083528485
425.363, -0.4497805873111314
425.473, -0.4253120873682663
425.582, -0.7000894587739821
425.692, -0.6368181351769117
425.801, -0.6925698451029864
425.911, -0.27625816504354167
426.021, -0.4736882429591758
426.13, -0.31724682379133
426.24, -0.02234145632793568
426.349, -0.2940591592682494
426.459, -0.46117995359564673
426.568, -0.6427120229891211
426.678, -0.2694167811980243
426.787, -0.5089949197638498
426.897, -0.6147486766625996
427.006, -0.5428789169509489
427.116, -0.38459783099841266
427.225, -0.5316087224151772
427.335, -0.3687298009844088
427.444, -0.5229949790344172
427.554, -0.36095738533139454
427.663, -0.4979523429995788
427.773, -0.5563013055261598
427.882, -0.3444820732156118
427.992, -0.5795423169602684
428.101, -0.5403562590303648
428.21, -0.5403863705116108
428.32, -0.4781830559384604
428.429, -0.6465951736168579
428.539, 0.130767527140419
428.648, -0.5028707846373737
428.757, -0.3393948613728852
428.867, -0.4119914069827935
428.976, -0.1293802422849485
429.085, -0.40700531545597635
429.195, -0.519687103090731
429.304, -0.4566174420422592
429.413, -0.366091310399531
429.523, -0.3185069497317674
429.632, -0.30339046201293346
429.741, -0.377679783894301
429.85, -0.5047082998693421
429.96, -0.33316101522247404
430.069, -0.44090295475587843
430.178, -0.46871279042962716
430.287, 0.23008108010289266
430.397, -0.33547499269637554
430.506, -0.43714148304163286
430.615, -0.4481822153888369
430.724, -0.3048409073575302
430.833, -0.34317903275891476
430.943, -0.3517332812877541
431.052, -0.33107565689738583
431.161, -0.4555752386049212
431.27, -0.33651361500851856
431.379, -0.4224636329279681
431.488, -0.03924235654358809
431.597, -0.1685379403753401
431.706, -0.13174395111380235
431.816, -0.303785377744774
431.925, -0.3169705648047781
432.034, -0.3595718102847338
432.143, -0.16631699407093972
432.252, -0.3089806020373666
432.361, -0.06686943783337466
432.47, -0.2294396391756531
432.579, -0.2917852328529167
432.688, -0.3391971324514032
432.797, -0.22446176506097507
432.906, -0.40533194776738524
433.015, -0.2036430385260063
433.124, 0.7035980862472542
433.233, -0.12118381033396713
433.342, -0.1228743144629346
433.451, -0.2721054249555253
433.56, -0.2720829229643288
433.669, -0.29031651405317055
433.778, -0.3146812923328867
433.886, -0.18411447031023595
433.995, -0.2499957388638904
434.104, 0.09354646289718428
434.213, -0.1449247570566651
434.322, -0.253668834450695
434.431, 0.05223478639856503
434.54, -0.11223256176904088
434.649, 0.23578460774489318
434.757, -0.06114583871972518
434.866, -0.14428050529185568
434.975, 0.04226680309349563
435.084, 0.03252628204574067
435.193, -0.0286495919614593
435.301, 0.4935565150094261
435.41, 0.7407377953148856
435.519, 0.9123198817543035
435.628, -0.1346519121640436
435.737, -0.30007822313066884
435.845, -0.3511982396104178
435.954, -0.39490790694150735
436.063, -0.24080609642417966
436.171, -0.30363395133174076
436.28, -0.2532865466335613
436.389, -0.008631197511728092
436.498, -0.243958836943928
436.606, -0.2519035298408145
436.715, 0.11527704177567773
436.823, -0.3341099427836432
436.932, -0.39072990541362185
437.041, -0.36228433596575943
437.149, -0.22182611428097493
437.258, -0.4161062359904113
437.367, -0.41705437590469785
437.475, -0.41876280662351195
437.584, 0.18559941232519198
437.692, -0.32905435985117454
437.801, 3.4122197215510424
437.91, 0.04083946255580899
438.018, -0.44148173806751545
438.127, -0.4851559102200173
438.235, -0.2429234414172276
438.344, -0.4418610474135574
438.452, -0.33459789535837803
438.561, -0.4959058603292652
438.669, -0.46268183793111695
438.778, -0.5163967332933096
438.886, -0.4210505346561405
438.995, -0.507473429093828
439.103, -0.4615221828093793
439.212, -0.43050978205206886
439.32, -0.4767502512062517
439.428, -0.5098491713836881
439.537, -0.3886066516696037
439.645, -0.24547842888027177
439.754, -0.32365373308000844
439.862, -0.42895948156036307
439.97, -0.3472786345678498
440.079, -0.40981967769778027
440.187, -0.5502318479763255
440.295, -0.10890383963539704
440.404, -0.42609574104597064
440.512, -0.36370647343952106
440.62, -0.2595476145952235
440.729, -0.23095894926566934
440.837, -0.17394290550279257
440.945, 1.3079262376860719
441.054, -0.08183428559987492
441.162, -0.3303638682371946
441.27, -0.07804995037665098
441.378, -0.2775159314085212
441.487, -0.28257530720896074
441.595, 0.5705441090096302
441.703, 0.02236270582346111
441.811, -0.1687192964299614
441.92, -0.2927705730709873
442.028, -0.3854818853219314
442.136, -0.25285733793949977
442.244, -0.1875831399646134
442.352, -0.2374184602971681
442.461, -0.44824445577042804
442.569, -0.45214629829181757
442.677, -0.3772988282979074
442.785, -0.234668149736892
442.893, -0.3220753372535041
443.001, -0.4225965126149245
443.109, -0.4335525817082539
443.217, -0.44306977603408276
443.325, -0.44570797151180425
443.434, 0.9382843803699293
443.542, 0.2912498302852029
443.65, -0.27170054183693615
443.758, 0.06566808721659989
443.866, -0.25324555239464636
443.974, 0.41450901573643606
444.082, -0.07863741669977146
444.19, -0.163885238719084
444.298, -0.11586290326344294
444.406, 0.06515158164254067
444.514, -0.06687237952556328
444.622, 0.05737847456570635
444.73, 0.07887827480269759
444.838, -0.0243118334577745
444.946, 0.016906241994743946
445.054, -0.1982416796280104
445.161, -0.2267747110894986
445.269, -0.30259846294401016
445.377, -0.17569660722209537
445.485, -0.15519785609960293
445.593, -0.2056909450297465
445.701, 0.2489211960386563
445.809, -0.06050242218947196
445.917, -0.1861881252587447
446.025, -0.418198199134432
446.132, -0.0698108436638174
446.24, -0.06752130505176998
446.348, -0.21532489351285564
446.456, -0.4089589980258335
446.564, -0.37749944617583814
446.671, -0.2543588363875938
446.779, -0.3439885828859611
446.887, -0.39077439058127456
446.995, -0.3015171073751377
447.102, -0.23930860050095842
447.21, -0.19507304735316316
447.318, -0.2605149234400914
447.426, -0.4228283020989067
447.533, 0.22629030178714718
447.641, 2.6447320901830085
447.749, 0.0418815419853296
447.856, -0.34916918557949556
447.964, -0.28823127653796826
448.072, -0.0754282691734335
448.179, -0.38944765649153906
448.287, -0.24653829783639533
448.395, -0.18746282969412836
448.502, -0.3933243080961251
448.61, -0.28291854218902857
448.718, -0.345594446467514
448.825, -0.2253043353507165
448.933, -0.31833088962355727
449.04, -0.37752828775841074
449.148, -0.2895686396772175
449.256, -0.31348382390015817
449.363, -0.26324275206050307
449.471, -0.27278121440195857
449.578, -0.1456455162739209
449.686, -0.38420007461227407
449.793, -0.05156304393258127
449.901, -0.2998849286237342
450.008, -0.23438360584915421
450.116, -0.1500699074055368
450.223, -0.3174956381545017
450.331, -0.1584033180001999
450.438, -0.19249946656322608
450.546, -0.18060141357756404
450.653, -0.04912658665402776
450.76, -0.08349167108605042
450.868, -0.07619606832434447
450.975, 0.32580537799635273
451.083, -0.14191575716191757
451.19, 0.013946731782932051
451.297, -0.08659247639923703
451.405, -0.027334692831589923
451.512, -0.16902395162637374
451.619, 0.16448182483156526
451.727, 0.14910717468859438
451.834, -0.1250450909830224
451.941, -0.12223567630226896
452.049, -0.15817115005522356
452.156, -0.11823751778366508
452.263, -0.009942364448091509
452.371, -0.10484279733394737
452.478, -0.0026918270508934803
452.585, 0.24204227841667927
452.692, -0.1499698709932553
452.8, -0.016963503078740165
452.907, 0.3198162850869751
453.014, 0.04337210734538159
453.121, -0.11493793152481777
453.229, 0.08338840521429684
453.336, 0.12254074153335047
453.443, 0.22218776427104608
453.55, -0.09803556869808847
453.657, 0.0420424748009895
453.765, 0.10520909360059973
453.872, 0.03192053947008224
453.979, 0.1745954377340744
454.086, -0.012430246045861537
454.193, 0.04663344408767601
454.3, -0.0007920531373318921
454.407, 0.3229693048632514
454.514, 0.29071318927485224
454.621, 0.007119847192731052
454.729, -0.019655920394248374
454.836, 0.026589662851707812
454.943, 0.07181369861019077
455.05, 0.2130637515377382
455.157, 0.2675928104236667
455.264, 0.022840856782709102
455.371, 0.13072013733777857
455.478, 0.06735134845339985
455.585, 0.6294053731732419
455.692, 0.2448483622309793
455.799, 0.4443257136146806
455.906, 0.04867670261447694
456.013, 0.04360690251348454
456.12, -0.0006171789879488983
456.227, 0.09772689898918216
456.334, 0.20531696833041396
456.44, 0.38746085773381833
456.547, 0.14869294728937313
456.654, 0.04115643313866721
456.761, 0.1701925571509128
456.868, 0.33304232173366427
456.975, 0.28717724882541257
457.082, 0.12711193316954475
457.189, 0.025365370792268062
457.296, 0.1591240084194301
457.402, 0.11885645920901383
457.509, 0.0525444261866698
457.616, 0.24296464603437895
457.723, 0.651648776428384
457.83, 0.26260580146651147
457.936, 0.1480363923095069
458.043, 0.9115509113315584
458.15, 0.30240746415508657
458.257, 0.4677816378639698
458.363, 0.36836738186219076
458.47, 0.3351351107756254
458.577, 0.5130728703297763
458.684, 0.2877789578365141
458.79, 0.5369925566643697
458.897, 0.5122641315052172
459.004, 0.629925133565811
459.11, 0.4725665503160234
459.217, 0.5245293500183758
459.324, 0.687322637376528
459.43, 0.8599576753637932
459.537, 1.2277475805430773
459.644, 0.6686006118318233
459.75, 0.5621550241422555
459.857, 1.5074704912541823
459.964, 0.7992332978629858
460.07, 0.8397654461790199
460.177, 0.8321019733154849
460.283, 0.964437815456329
460.39, 1.1784924549238565
460.496, 0.9036877455995104
460.603, 0.9762746927278335
460.71, 0.8568705132010898
460.816, 0.7296843224674606
460.923, 0.741370052448452
461.029, 0.8326873632539589
461.136, 0.859003339165754
461.242, 0.8159088338480239
461.349, 0.8289164740232595
461.455, 0.713043025315729
461.562, 1.5682891735045987
461.668, 1.0882958452963059
461.774, 0.869267948209757
461.881, 1.0886236305422337
461.987, 0.9915166444322802
462.094, 0.9657341003713626
462.2, 1.0622416938756492
462.307, 1.1320750489176485
462.413, 0.9537087028008878
462.519, 0.9419293685618992
462.626, 1.3207895000680734
462.732, 1.2335445502170326
462.838, 1.3143045129931084
462.945, 1.5139689856330336
463.051, 1.4041693914548568
463.157, 1.255284396228316
463.264, 1.2514711063641824
463.37, 1.28615986115734
463.476, 1.182193839888733
463.583, 1.127565869391882
463.689, 1.007402843521974
463.795, 1.021251915332289
463.901, 1.1838094526195833
464.008, 1.415015985055473
464.114, 1.067693838847144
464.22, 0.9788290281833248
464.326, 1.1217889348312924
464.433, 0.9076446216430833
464.539, 0.960948260799739
464.645, 0.9085280445653287
464.751, 1.3673073269759923
464.857, 0.9442885404059215
464.963, 0.6540077218342477
465.07, 0.8634792309403103
465.176, 0.7810407035675174
465.282, 0.6636996005697829
465.388, 0.9253830536497539
465.494, 0.441765901220845
465.6, 0.5062891868228518
465.706, 0.39628606588233367
465.812, 0.2766524828081034
465.918, 0.5634272687907577
466.024, 0.38924065289081367
466.131, 0.5141130842501168
466.237, 0.3133415041003834
466.343, 0.15859178684848052
466.449, 0.20048677556944053
466.555, 0.18938173748470016
466.661, 0.13539970161690623
466.767, 0.14599024025972207
