Longitud de onda, Intensidad de la luz
407.81, -2.120727991792392
407.921, -2.120727991792392
408.032, -2.120727991792392
408.143, -2.1376318658030424
408.254, -2.1245268331077685
408.365, -1.9048057733532535
408.476, -1.6031847397260803
408.587, -1.9776591150505178
408.699, -1.9618746517036898
408.81, -1.9660195433442296
408.921, -2.016265478482448
409.032, -1.9963828894047246
409.143, -1.8824085396251424
409.254, -1.9139511299088783
409.365, -1.8248664994016348
409.476, -1.9834603419230623
409.587, -1.9431266437731038
409.698, -1.8532444484991937
409.809, -1.8141331625965285
409.92, -1.9961292344256858
410.031, -1.9754889040053683
410.142, -1.8616357030775987
410.253, -1.9193677523880313
410.364, -1.9000651392853298
410.475, -1.8039039833416413
410.585, -1.0116416849752101
410.696, -0.9267149972261605
410.807, -0.9643943294835319
410.918, -0.9470794989158127
411.029, -0.8895126426885871
411.14, -0.8969139790407938
411.251, -0.936187578896527
411.362, -0.8478605084479148
411.472, -0.857413424617635
411.583, -0.8815308830111398
411.694, -0.8199864333334348
411.805, -0.9182816889988241
411.916, -0.9071617545059669
412.026, -0.8072544388730977
412.137, -0.889700886899998
412.248, -0.8883090840628077
412.359, -0.8940105238601692
412.47, -0.9758038366547441
412.58, -0.9719925193242689
412.691, -0.8694851489674325
412.802, -0.9121910904390058
412.912, -0.9307868319473044
413.023, -0.910078573595507
413.134, -0.944425222891415
413.245, -0.8226403590588615
413.355, -0.9368382112166505
413.466, -0.944426289531393
413.577, -0.9406793383393999
413.687, -0.8064707440826012
413.798, -0.989804479998544
413.909, -0.8342158025881886
414.019, -0.8974903455419029
414.13, -0.8876924536069863
414.24, -0.9713050130377818
414.351, -0.8481691491254858
414.462, -0.6606094195568385
414.572, -0.8348249153482216
414.683, -0.84468950905503
414.793, -0.9237625180785708
414.904, -0.45584222603164737
415.014, -0.9038143044268065
415.125, -0.9564748591777678
415.235, -0.8541067783208057
415.346, -0.7570778655256134
415.456, -0.7307573505592494
415.567, -0.8860861538687806
415.677, -0.8947016959554547
415.788, -0.8283587070268953
415.898, -0.9195849917201947
416.009, -0.9341286488859603
416.119, -0.8623935305357342
416.23, -0.9281948598266978
416.34, -0.9607417503073015
416.45, -0.8835843690773646
416.561, 0.03915397279028064
416.671, -0.7196639144929096
416.782, -0.99040947248778
416.892, -0.9248836102552955
417.002, -0.8468347065036835
417.113, -0.831756393906886
417.223, -0.8783504350832718
417.333, -0.9115191160149304
417.444, -0.9075165913293813
417.554, -0.8324828037183974
417.664, -0.809681586562775
417.775, -0.9512930465123882
417.885, -0.8657291390114689
417.995, -0.8475780080399786
418.106, -0.6706731089606511
418.216, -0.8063142610769977
418.326, -0.7806744062676156
418.436, -0.7940238654293695
418.547, -0.8340417313105365
418.657, -0.8516282748590706
418.767, -0.6982308625012934
418.877, -0.8064866537347029
418.987, -0.7971126243935677
419.098, -0.7804635057043768
419.208, -0.7767719488246329
419.318, -0.6731691006504523
419.428, -0.6848432214950358
419.538, -0.8053119173659378
419.648, -0.7348055369126919
419.759, -0.6979492078910852
419.869, -0.681478341605019
419.979, -0.7878022952901272
420.089, -0.7495484158399051
420.199, -0.7804409537474852
420.309, -0.7207909045736088
420.419, -0.6927562043658144
